numero,variable,region,model,langue,surprisal
2,ORCplGap,2,BERT,Français,8.885500822164811
2,ORCplGap,3,BERT,Français,8.323476963355953
2,ORCplGap,4,BERT,Français,10.900425206659156
2,ORCplGap,5,BERT,Français,11.487879129838626
2,ORCplGap,6,BERT,Français,19.925449849493383
2,ORCplGap,8,BERT,Français,10.860874153951388
2,ORCplGap,9,BERT,Français,14.158183553541459
3,ORCplGap,1,BERT,Français,15.864032128975593
3,ORCplGap,2,BERT,Français,11.04466350696008
3,ORCplGap,3,BERT,Français,13.954416626235219
3,ORCplGap,4,BERT,Français,7.095250732092969
3,ORCplGap,5,BERT,Français,13.424924646239909
3,ORCplGap,6,BERT,Français,15.734144914206006
3,ORCplGap,8,BERT,Français,13.843077981581187
3,ORCplGap,9,BERT,Français,11.433643957418735
4,ORCplGap,1,BERT,Français,18.149187086097793
4,ORCplGap,2,BERT,Français,13.671270706851086
4,ORCplGap,3,BERT,Français,21.191653717528606
4,ORCplGap,4,BERT,Français,5.670326957895654
4,ORCplGap,5,BERT,Français,14.231159046598506
4,ORCplGap,6,BERT,Français,10.411486761671108
4,ORCplGap,8,BERT,Français,9.948397064164972
4,ORCplGap,9,BERT,Français,14.07294238925042
5,ORCplGap,1,BERT,Français,19.652538937143664
5,ORCplGap,2,BERT,Français,11.446238775905865
5,ORCplGap,3,BERT,Français,9.692814619699408
5,ORCplGap,4,BERT,Français,11.119308354831539
5,ORCplGap,5,BERT,Français,10.664783994068099
5,ORCplGap,6,BERT,Français,9.793492495489744
5,ORCplGap,8,BERT,Français,2.871164089290602
5,ORCplGap,9,BERT,Français,11.451545994871353
6,ORCplGap,1,BERT,Français,19.18242012667936
6,ORCplGap,2,BERT,Français,9.022890431278368
6,ORCplGap,3,BERT,Français,12.642829797046891
6,ORCplGap,4,BERT,Français,5.818917521486705
6,ORCplGap,5,BERT,Français,12.044975481406407
6,ORCplGap,6,BERT,Français,17.512314622798883
6,ORCplGap,8,BERT,Français,8.532855320427863
6,ORCplGap,9,BERT,Français,16.099063836465355
7,ORCsgGap,1,BERT,Français,14.357084215100423
7,ORCsgGap,2,BERT,Français,10.869221136290921
7,ORCsgGap,3,BERT,Français,13.313066956207246
7,ORCsgGap,4,BERT,Français,5.035545167473155
7,ORCsgGap,5,BERT,Français,13.636727714390112
7,ORCsgGap,6,BERT,Français,14.891642570476712
7,ORCsgGap,8,BERT,Français,11.286341216432918
7,ORCsgGap,9,BERT,Français,11.596591847819305
8,ORCsgGap,1,BERT,Français,17.692571669373997
8,ORCsgGap,2,BERT,Français,15.350372898237739
8,ORCsgGap,3,BERT,Français,10.521936351706753
8,ORCsgGap,4,BERT,Français,7.973683582062507
8,ORCsgGap,5,BERT,Français,11.600129251557007
8,ORCsgGap,6,BERT,Français,9.579125238723313
8,ORCsgGap,8,BERT,Français,18.396765542187808
8,ORCsgGap,9,BERT,Français,13.402097599013933
9,ORCsgGap,1,BERT,Français,18.48590806328599
9,ORCsgGap,2,BERT,Français,18.7028850178381
9,ORCsgGap,3,BERT,Français,9.587712112170431
9,ORCsgGap,4,BERT,Français,5.179611434877705
9,ORCsgGap,5,BERT,Français,8.814903628446151
9,ORCsgGap,6,BERT,Français,14.860807938479871
9,ORCsgGap,8,BERT,Français,13.97406731465767
9,ORCsgGap,9,BERT,Français,21.405898683767223
10,ORCsgGap,1,BERT,Français,18.10918467186055
10,ORCsgGap,2,BERT,Français,9.785983767228645
10,ORCsgGap,3,BERT,Français,11.668151323895621
10,ORCsgGap,4,BERT,Français,5.859906055343332
10,ORCsgGap,5,BERT,Français,13.177790089443302
10,ORCsgGap,6,BERT,Français,13.619859086783933
10,ORCsgGap,8,BERT,Français,17.72348550648908
10,ORCsgGap,9,BERT,Français,13.813099298757487
11,ORCsgGap,1,BERT,Français,19.74127842243514
11,ORCsgGap,2,BERT,Français,12.38245171234909
11,ORCsgGap,3,BERT,Français,13.284534805706986
11,ORCsgGap,4,BERT,Français,10.748147790838587
11,ORCsgGap,5,BERT,Français,8.39105511731907
11,ORCsgGap,6,BERT,Français,15.832014584474791
11,ORCsgGap,8,BERT,Français,8.04764496751103
11,ORCsgGap,9,BERT,Français,13.32889662983087
12,ORCsgGap,1,BERT,Français,16.715554568824125
12,ORCsgGap,2,BERT,Français,9.150118000732874
12,ORCsgGap,3,BERT,Français,12.406171916437058
12,ORCsgGap,4,BERT,Français,11.268155634568329
12,ORCsgGap,5,BERT,Français,11.306469121957367
12,ORCsgGap,6,BERT,Français,16.15956915325831
12,ORCsgGap,8,BERT,Français,7.007353770240368
12,ORCsgGap,9,BERT,Français,14.925115896105549
13,ORCplGap,1,BERT,Français,18.896930104434666
13,ORCplGap,2,BERT,Français,11.846430496530699
13,ORCplGap,3,BERT,Français,5.904304071514618
13,ORCplGap,4,BERT,Français,9.709363492853553
13,ORCplGap,5,BERT,Français,7.438283323341797
13,ORCplGap,6,BERT,Français,14.111172228096018
13,ORCplGap,8,BERT,Français,9.602688468754565
13,ORCplGap,9,BERT,Français,10.85292118419404
14,ORCplGap,1,BERT,Français,17.418281641152607
14,ORCplGap,2,BERT,Français,11.00037092826679
14,ORCplGap,3,BERT,Français,4.826359610975408
14,ORCplGap,4,BERT,Français,12.510344940926075
14,ORCplGap,5,BERT,Français,13.948331021629402
14,ORCplGap,6,BERT,Français,12.952044880669593
14,ORCplGap,8,BERT,Français,11.850592273673145
14,ORCplGap,9,BERT,Français,14.051421023875449
15,ORCplGap,1,BERT,Français,16.93599195490556
15,ORCplGap,2,BERT,Français,13.238951925939325
15,ORCplGap,3,BERT,Français,14.506670290403383
15,ORCplGap,4,BERT,Français,7.32272209926722
15,ORCplGap,5,BERT,Français,12.317959662270365
15,ORCplGap,6,BERT,Français,13.27974780790033
15,ORCplGap,8,BERT,Français,14.141854480231013
15,ORCplGap,9,BERT,Français,16.957710564890263
16,ORCplGap,1,BERT,Français,17.142903053008347
16,ORCplGap,2,BERT,Français,12.369368922696546
16,ORCplGap,3,BERT,Français,17.55031934283658
16,ORCplGap,4,BERT,Français,6.69094101422783
16,ORCplGap,5,BERT,Français,19.434699622357577
16,ORCplGap,6,BERT,Français,16.504387449960895
16,ORCplGap,8,BERT,Français,14.825938521908501
16,ORCplGap,9,BERT,Français,13.422215768124351
17,ORCplGap,1,BERT,Français,19.032210421559828
17,ORCplGap,2,BERT,Français,12.448333977295048
17,ORCplGap,3,BERT,Français,10.672896129919113
17,ORCplGap,4,BERT,Français,5.38143940639694
17,ORCplGap,5,BERT,Français,7.688915264648585
17,ORCplGap,6,BERT,Français,13.378844654497783
17,ORCplGap,8,BERT,Français,5.768079968672559
17,ORCplGap,9,BERT,Français,17.39883484511888
18,ORCplGap,1,BERT,Français,14.998690087056339
18,ORCplGap,2,BERT,Français,10.266703260499959
18,ORCplGap,3,BERT,Français,20.058606574674666
18,ORCplGap,4,BERT,Français,8.5296094738878
18,ORCplGap,5,BERT,Français,11.835441040381836
18,ORCplGap,6,BERT,Français,14.384966050624245
18,ORCplGap,8,BERT,Français,17.541999861881347
18,ORCplGap,9,BERT,Français,15.101257380761686
19,ORCsgGap,1,BERT,Français,20.53060957780394
19,ORCsgGap,2,BERT,Français,15.260418274614821
19,ORCsgGap,3,BERT,Français,17.062063562993703
19,ORCsgGap,4,BERT,Français,5.341175313179267
19,ORCsgGap,5,BERT,Français,7.484863968972942
19,ORCsgGap,6,BERT,Français,12.158481719987245
19,ORCsgGap,8,BERT,Français,6.989865997788514
19,ORCsgGap,9,BERT,Français,10.765937921427803
20,ORCsgGap,1,BERT,Français,16.33631323898699
20,ORCsgGap,2,BERT,Français,10.806511787054673
20,ORCsgGap,3,BERT,Français,11.145142171981416
20,ORCsgGap,4,BERT,Français,4.54631716112368
20,ORCsgGap,5,BERT,Français,16.821038117011934
20,ORCsgGap,6,BERT,Français,7.763459471788422
20,ORCsgGap,8,BERT,Français,10.83582024819454
20,ORCsgGap,9,BERT,Français,15.621888543261607
21,ORCsgGap,1,BERT,Français,17.273798994364046
21,ORCsgGap,2,BERT,Français,11.520255747756813
21,ORCsgGap,3,BERT,Français,8.148981886827542
21,ORCsgGap,4,BERT,Français,12.735301561492413
21,ORCsgGap,5,BERT,Français,7.134697442417821
21,ORCsgGap,6,BERT,Français,14.76555763743541
21,ORCsgGap,8,BERT,Français,17.181304905757887
21,ORCsgGap,9,BERT,Français,14.802471172516945
22,ORCsgGap,1,BERT,Français,14.524227117912337
22,ORCsgGap,2,BERT,Français,10.071977963270852
22,ORCsgGap,3,BERT,Français,11.560631083123422
22,ORCsgGap,4,BERT,Français,8.099349385372127
22,ORCsgGap,5,BERT,Français,11.47769062124053
22,ORCsgGap,6,BERT,Français,16.689881104872345
22,ORCsgGap,8,BERT,Français,15.14796480783301
22,ORCsgGap,9,BERT,Français,14.297925203956035
23,ORCsgGap,1,BERT,Français,18.59305803756892
23,ORCsgGap,2,BERT,Français,22.12520358932287
23,ORCsgGap,3,BERT,Français,8.674832227680405
23,ORCsgGap,4,BERT,Français,6.505836573917309
23,ORCsgGap,5,BERT,Français,18.739179935448607
23,ORCsgGap,6,BERT,Français,17.054097921129916
23,ORCsgGap,8,BERT,Français,13.951758104667505
23,ORCsgGap,9,BERT,Français,14.879508976517345
24,ORCsgGap,1,BERT,Français,16.24225425316108
24,ORCsgGap,2,BERT,Français,9.44008965894924
24,ORCsgGap,3,BERT,Français,24.00166032963796
24,ORCsgGap,4,BERT,Français,6.532284385219032
24,ORCsgGap,5,BERT,Français,14.887814578865894
24,ORCsgGap,6,BERT,Français,7.903944082628564
24,ORCsgGap,8,BERT,Français,11.24276311597647
24,ORCsgGap,9,BERT,Français,13.774238150404855
1,ORCsgGap,1,BERT,Français,13.692208848930036
1,ORCsgGap,2,BERT,Français,9.171407425589102
1,ORCsgGap,3,BERT,Français,9.40557937021038
1,ORCsgGap,4,BERT,Français,5.016335726533859
1,ORCsgGap,5,BERT,Français,14.451677705668697
1,ORCsgGap,6,BERT,Français,23.16465098074877
1,ORCsgGap,8,BERT,Français,11.019589482156007
1,ORCsgGap,9,BERT,Français,12.306389153844831
2,ORCsgGap,1,BERT,Français,18.176880618494412
2,ORCsgGap,2,BERT,Français,8.543873480759839
2,ORCsgGap,3,BERT,Français,10.28849622904998
2,ORCsgGap,4,BERT,Français,8.934904564583954
2,ORCsgGap,5,BERT,Français,11.02709407698254
2,ORCsgGap,6,BERT,Français,18.241770989509302
2,ORCsgGap,8,BERT,Français,9.057032493574546
2,ORCsgGap,9,BERT,Français,18.846563318148895
3,ORCsgGap,1,BERT,Français,17.45068934499529
3,ORCsgGap,2,BERT,Français,9.083730715480968
3,ORCsgGap,3,BERT,Français,11.288096656928277
3,ORCsgGap,4,BERT,Français,7.886731565600673
3,ORCsgGap,5,BERT,Français,14.52349567439109
3,ORCsgGap,6,BERT,Français,15.038515949500745
3,ORCsgGap,8,BERT,Français,12.673102196022253
3,ORCsgGap,9,BERT,Français,13.410203835538697
4,ORCsgGap,1,BERT,Français,17.748615399609804
4,ORCsgGap,2,BERT,Français,10.469035790682119
4,ORCsgGap,3,BERT,Français,16.108277751293436
4,ORCsgGap,4,BERT,Français,8.60711897733126
4,ORCsgGap,5,BERT,Français,17.749325986991938
4,ORCsgGap,6,BERT,Français,10.76827108994608
4,ORCsgGap,8,BERT,Français,8.185154419475795
