numero,variable,region,model,langue,surprisal
14,ORCsg,8,BERT,Français,14.115979881280332
15,ORCsg,1,BERT,Français,18.96747295175372
15,ORCsg,2,BERT,Français,11.326204196020583
15,ORCsg,3,BERT,Français,18.959145431945455
15,ORCsg,4,BERT,Français,6.623862552059896
15,ORCsg,5,BERT,Français,14.803816186543791
15,ORCsg,6,BERT,Français,12.66987693013985
15,ORCsg,7,BERT,Français,14.25961178340321
15,ORCsg,8,BERT,Français,15.011669743940764
16,ORCsg,1,BERT,Français,15.960174796408847
16,ORCsg,2,BERT,Français,9.97188214690334
16,ORCsg,3,BERT,Français,15.081762562788688
16,ORCsg,4,BERT,Français,8.4455718110191
16,ORCsg,5,BERT,Français,20.39771049362413
16,ORCsg,6,BERT,Français,16.920655688013852
16,ORCsg,7,BERT,Français,16.58448077176055
16,ORCsg,8,BERT,Français,12.326250554301613
17,ORCsg,1,BERT,Français,20.851673933979235
17,ORCsg,2,BERT,Français,14.781833823975086
17,ORCsg,3,BERT,Français,6.664436953113503
17,ORCsg,4,BERT,Français,8.080877441880816
17,ORCsg,5,BERT,Français,13.56250608495179
17,ORCsg,6,BERT,Français,17.52182164954838
17,ORCsg,7,BERT,Français,14.609652582469327
17,ORCsg,8,BERT,Français,13.581405901495739
18,ORCsg,1,BERT,Français,15.746797387002633
18,ORCsg,2,BERT,Français,9.437558883072954
18,ORCsg,3,BERT,Français,12.946079585683147
18,ORCsg,4,BERT,Français,8.67045313863775
18,ORCsg,5,BERT,Français,9.77820094253837
18,ORCsg,6,BERT,Français,15.610539070419016
18,ORCsg,7,BERT,Français,18.46605211299837
18,ORCsg,8,BERT,Français,12.534431353336458
19,ORCpl,1,BERT,Français,19.2806994457842
19,ORCpl,2,BERT,Français,12.996927536262005
19,ORCpl,3,BERT,Français,18.420341436331885
19,ORCpl,4,BERT,Français,5.500772212226067
19,ORCpl,5,BERT,Français,8.271865653814992
19,ORCpl,6,BERT,Français,10.085354923358613
19,ORCpl,7,BERT,Français,7.380599196443617
19,ORCpl,8,BERT,Français,13.81133751281791
20,ORCpl,1,BERT,Français,18.386976880361434
20,ORCpl,2,BERT,Français,11.742715323608788
20,ORCpl,3,BERT,Français,15.085781680342299
20,ORCpl,4,BERT,Français,5.938194901378759
20,ORCpl,5,BERT,Français,19.43477098836178
20,ORCpl,6,BERT,Français,7.4253761011842645
20,ORCpl,7,BERT,Français,11.666940626133583
20,ORCpl,8,BERT,Français,16.973307211173136
21,ORCpl,1,BERT,Français,17.549806661068782
21,ORCpl,2,BERT,Français,14.549717161886058
21,ORCpl,3,BERT,Français,9.240665441315803
21,ORCpl,4,BERT,Français,14.035787121899011
21,ORCpl,5,BERT,Français,8.455679208603975
21,ORCpl,6,BERT,Français,14.341156358997484
21,ORCpl,7,BERT,Français,18.681628208021827
21,ORCpl,8,BERT,Français,15.319948943838906
22,ORCpl,1,BERT,Français,16.36410091035759
